"sample_id","rna","protein"
"C3L-02899",13.3632808029869,25.2969675338247
"C3N-02585",13.8083278175374,25.8578007561207
"C3N-00303",11.8635546003754,24.3030816052031
"C3N-03428",12.2101118121984,24.6559540957793
"C3L-00599",12.8736112351898,24.3675080494953
"C3N-00517",11.9529122662786,24.8890015139082
"C3N-03666",13.2150816182402,26.4113351915471
"C3N-03670",12.4940365033275,24.4185309408697
"C3L-00189",12.6964638564249,24.9901103938131
"C3L-04027",11.1650790616373,24.4010429288449
"C3L-02701",12.7917076186359,25.6871105468998
"C3N-00512",12.8889693539992,25.2052679939214
"C3N-02295",12.834812464024,25.714965902142
"C3N-01165",12.5348432086131,25.5712260936481
"C3N-01388",13.7815197018936,25.569611914798
"C3L-03388",12.4839644357498,24.6568810875229
"C3N-01716",12.3638877799704,25.2701445518678
"C3L-03743",14.1979338980575,25.6259467391578
"C3L-01053",11.5240314261172,24.9573615077417
"C3N-03884",14.7747007959214,26.7293680612609
"C3N-03061",12.5437989892427,25.3736688686165
"C3L-00589",12.7251146998059,25.1446805973718
"C3N-02944",13.1478849221613,25.1349266987451
"C3N-00511",12.3320489238069,24.4125558683269
"C3L-01598",11.6337423298893,26.0835306721015
"C3L-03395",12.1710524880516,24.9348691906713
"C3L-04473",12.2756544638892,25.5253779512331
"C3L-01037",12.4110263457536,24.4946600743214
"C3L-01124",13.8634973296636,25.0888333032775
"C3L-00102",13.3039681109279,25.1319346057243
"C3L-04853",12.7764055775226,25.7165816535524
"C3N-01998",13.533201339714,24.8917663876586
"C3N-03853",12.8646086038552,25.3792720168829
"C3L-01703",13.6211605171505,25.767465589304
"C3N-01997",11.8188959906118,25.5062463966597
"C3L-01054",13.0087366181637,24.8893120264784
"C3L-03635",13.1811093947414,25.5862305150566
"C3N-01167",12.4366833632875,25.9556192738169
"C3L-04848",13.4599644899212,25.302377090349
"C3N-04119",11.90048537819,26.1367371537141
"C3N-04284",9.29442124150667,23.4238493228446
"C3N-03839",13.5239238216044,25.4833833396589
"C3N-03069",13.2766013633766,26.266369800232
"C3L-00017",11.4010287733803,25.1554812117201
"C3N-01166",11.6567971380987,25.0578951255524
"C3N-03007",12.8852276335239,25.8940125482419
"C3N-03173",13.0634474115307,24.6336059132148
"C3N-00513",11.7082217300384,24.8873092470679
"C3L-04479",11.293980663837,24.2227967399861
"C3N-03190",13.0683821393175,25.2326865408246
"C3L-01031",13.5252583428824,26.5007578541276
"C3N-00957",13.0327646922392,25.7780731686672
"C3L-03630",12.0481350580095,24.1245120265751
"C3L-01662",13.3282956794987,25.5863960677196
"C3L-01689",13.4713677748438,25.6472455341747
"C3N-01011",13.0863821342089,25.6883107128432
"C3L-02112",11.1106605165089,23.7902526800706
"C3L-03639",12.6513888918853,25.3309986838443
"C3L-00622",13.4662922896563,26.1524420040626
"C3N-02971",11.9971742459315,25.4242277042987
"C3N-03840",13.8297260869768,26.4172590200033
"C3N-03439",13.171389950435,24.9139979567905
"C3L-00598",14.859690943869,26.0408126907749
"C3N-01012",11.5973815734374,25.2177462119696
"C3L-00277",14.4384649776728,28.733737617891
"C3L-04072",14.5625364915199,26.0750994819214
"C3L-01052",12.2005041589699,25.0133120700117
"C3N-02940",13.2715545364381,25.5151349684395
"C3L-00819",14.4174851522331,25.8904047761243
"C3L-01036",14.3094032765305,26.1885561175427
"C3L-02116",12.2188999928583,25.0213081455379
"C3N-00436",11.5424107615745,24.8501304981835
"C3L-00640",14.2053976145757,26.1215394692106
"C3L-02610",13.2408447243536,25.5621709219803
"C3L-01328",12.4835011058329,25.1873123421683
"C3L-00928",13.1303114291019,25.4482002718571
"C3N-03000",12.9167339665648,26.3150996596786
"C3N-00249",12.450506802012,24.0428780908155
"C3L-04080",13.3644647894177,25.0489657625089
"C3L-01051",13.3687055028928,25.3592230751949
"C3L-02115",11.7006929519397,25.3702983278653
