"pair_id","tumour","normal"
"E005",5.72119,4.29341
"E012",5.60576,4.11418
"E021",6.20528,4.87223
"E028",5.87786,5.02388
"E033",6.41574,3.29246
"E041",5.46488,3.77262
"E042",5.67007,3.95875
"E045",6.29796,6.14337
"E048",5.7388,5.09476
"E052",6.13459,3.93541
"E058",5.41572,3.72623
"E064",4.60855,4.84339
"E073",5.33004,4.37876
"E082",5.37071,3.45611
"E086",5.60404,5.44444
"E088",5.21492,3.50657
"E094",4.1795,4.05582
"E109",3.94821,3.86664
"E119",4.80249,3.89057
"E120",6.08332,4.93549
"E123",4.45515,3.95576
"E130",4.23014,5.45484
"E133",5.09444,3.34417
"E136",5.02542,4.16015
"E138",5.87711,4.19166
"E139",5.6789,5.28339
"E152",5.251,4.47785
"E162",5.61621,3.91699
"E165",5.47001,3.50213
"E178",5.84218,3.17704
"E179",6.06788,4.38023
"E181",5.5323,4.9305
"E182",5.95948,3.34658
"E186",5.07075,4.87144
"E203",6.23351,5.33888
"E208",5.18545,3.62991
"E209",5.64049,4.62794
"E218",4.93794,4.31198
"E220",5.55124,3.99167
"E229",4.65932,4.91913
"E234",5.26496,4.26312
"E245",6.0404,4.71117
"E246",5.65254,5.16088
"E249",3.80731,3.36683
"E250",6.23924,3.10786
