"file","source_url","bytes","md5"
"data_mrna_seq_v2_rsem.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_tcga_pan_can_atlas_2018/data_mrna_seq_v2_rsem.txt",25937712,"00236ecd40af3963e9749c121b4c75c8"
"data_clinical_patient.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_tcga_pan_can_atlas_2018/data_clinical_patient.txt",58621,"b160e28d5380f438a429e1b6d4d6b0e3"
"data_clinical_sample.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_tcga_pan_can_atlas_2018/data_clinical_sample.txt",38978,"7e6c3490ca86c3a8a717233793f1a5bd"
"GSE85916_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85916/matrix/GSE85916_series_matrix.txt.gz",21778701,"036cf38d34bd818ade105f03e37bb332"
"GSE57495_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57495/matrix/GSE57495_series_matrix.txt.gz",13487043,"edae2ac6094c3a73046b6e74743206d8"
"GSE62452_series_matrix.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62452/matrix/GSE62452_series_matrix.txt.gz",14447291,"e5508574d471e212aa8c9ce3435791f3"
"GSE164665_Cancer_raw_gene_counts.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164665/suppl/GSE164665_Cancer_raw_gene_counts.txt.gz",743776,"cc0bdd4d715073fdbef9db612daed2ab"
"GSE164665_Stroma_raw_gene_counts.txt.gz","https://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164665/suppl/GSE164665_Stroma_raw_gene_counts.txt.gz",680499,"754a694fb40bc754da63c234954754d3"
"cptac_data_mrna_seq_v2_rsem.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_cptac_2021/data_mrna_seq_v2_rsem.txt",56906983,"200873b1bbd31225cc416156185c8e91"
"cptac_data_protein_quantification.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_cptac_2021/data_protein_quantification.txt",22135953,"c6e3273b37353e1ec3aead69d8ed9832"
"cptac_data_clinical_patient.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_cptac_2021/data_clinical_patient.txt",48769,"2c003731234d72684175515cc6e383c1"
"cptac_data_clinical_sample.txt","https://media.githubusercontent.com/media/cBioPortal/datahub/0cc9138746c08b304f8dac92c31983e0ef44af1d/public/paad_cptac_2021/data_clinical_sample.txt",33366,"2580dbf7f989ab3becf7170ce0324d9c"
